,cell_name,peak_ratio_chirp,peak_freq,db_freq,low_freq_impedance_chirp,high_freq_impedance_chirp,peak_impedance_chirp,phase_peak_chirp,phase_low,phase_high,sync_freq_chirp,total_inductive_phase_chirp,v_baseline_chirp,input_resistance,input_resistance_ss,SSRn,sag_ratio,sag,Vm_VI,tau,Donor,Species,Specie,slice_type,Preparation,sample_id,Brain_Region,Overall Brain Region,drug,Drug_concentration,Virus,Reporter_positive,Delivery_method,DIV,ROI_major,score.Corr_label,cluster_Corr,subclass_Corr_label,patched_cell_container_label,HCN1,HCN2,HCN3,HCN4,PEX5L,Genes.Detected_label,percent_reads_aligned_to_introns_label,marker_sum_norm_label,quality_score_label,pia_depth,pia_distance,layer
100,SS22.26.035.11.03.03,1.278225603,2.950879362,11.60345783,80.603211,34.451333,103.029089,-0.14336201,0.043377859,-0.806177059,1.35040242,0.001652626,-70.13443066,87.30062949,72.53494056,72.53494056,1.203566568,0.176222116,-70.86165619,9.793165,SC22.26.035,S.sciureus,,NHP_acute,acute,PKS4_221024_226_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,485,485,L3
101,SS22.26.035.11.03.04,1.224967856,3.15093898,10.05299579,147.457017,56.75003,180.630106,-0.187207593,0.004935237,-0.897803163,1.600476942,0.00262118,-68.94474927,148.6063674,123.7749935,123.7749935,1.200617049,0.141393065,-70.67010498,11.946702,SC22.26.035,S.sciureus,,NHP_acute,acute,PKS4_221024_227_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,503,503,L3
102,SS22.26.035.11.02.01,1.067902016,2.850849553,13.40399439,70.489283,28.980423,75.275648,-0.156243364,0.052191057,-1.080206849,0.950283184,0.001338442,-73.02030687,82.51197609,65.37502598,65.37502598,1.262132976,0.178304136,-71.67436981,10.562858,SC22.26.035,S.sciureus,,NHP_acute,acute,PSS4_221024_751_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,,,L3
103,SS22.26.035.11.02.02,1.018267112,8.152429424,22.65675171,87.875499,54.06299,89.480731,-0.279415659,0.070058064,-0.789768615,2.300685604,0.000741925,-47.28554314,96.77458191,93.97104645,93.97104645,1.029834035,0.084090166,-50.25605011,10.140471,SC22.26.035,S.sciureus,,NHP_acute,acute,PSS4_221024_751_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,,,L3
104,QN22.26.037.11.03.01,1.102974035,1.650491847,6.451922673,63.128908,24.307755,69.629547,-0.134362211,-0.646269041,-0.660340008,0.90026828,0.001380144,-57.52641207,62.0681474,57.61892783,57.61892783,1.077218021,0.044556297,-59.40538788,15.147406,QN22.26.037,M.nemestrina,Macaque,NHP_acute,acute,PKS4_221130_225_A01,ITG,Temporal,,,,,,,TCx,0.729854152,L2/3 IT_1,L2/3 IT,PKS4_221130_225_A01,111.8430618,2.236861236,2.236861236,38.02664102,281.8445158,9766,53.38060092,1.003709667,0.567980835,681,681,L3
105,QN23.26.005.11.01.01,1,0.399121932,3.542207144,261.395161,33.343253,261.395161,0.000914696,0.000914696,-1.369467075,0.399121932,4.56E-05,-78.17172641,,,,,,,,QN23.26.005,M.nemestrina,Macaque,NHP_acute,acute,none,ITG,Temporal,,,,,,,TCx,,,,,,,,,,,,,,203,203,L2
106,QN23.26.005.11.05.02,1,0.400119236,3.551058215,164.72078,23.970232,164.72078,0.227713961,0.227713961,-0.978976924,0.90026828,0.008605389,-68.2616315,99.09066278,79.13593189,79.13593189,1.252157653,0.185181573,-67.46336365,19.225948,QN23.26.005,M.nemestrina,Macaque,NHP_acute,acute,PKS4_230314_225_A01,ITG,Temporal,,,,,,,TCx,0.746842938,L2/3 IT_1,L2/3 IT,PKS4_230314_225_A01,388.700565,4.519774011,0,0,424.8587571,6937,42.2052925,0.916804848,0.52961993,873,873,L3
107,QN23.26.005.11.05.03,1.112726636,1.700506751,5.751714011,168.871557,36.830992,187.907879,-0.229936855,0.103663618,-0.975136911,0.600178853,0.00231867,-63.54816247,147.2872317,127.2758659,127.2758659,1.157228282,0.101359166,-62.8423233,18.472749,QN23.26.005,M.nemestrina,Macaque,NHP_acute,acute,PKS4_230314_226_A01,ITG,Temporal,,,,,,,TCx,0.689493232,L2/3 IT_1,L2/3 IT,PKS4_230314_226_A01,89.70889464,3.73787061,0,0,530.7776266,6731,48.64960064,0.862295572,0.504994334,506,506,L3
108,QN23.26.005.11.05.04,1.352447589,2.150640891,5.051505349,86.391427,20.006012,116.839878,-0.267620575,0.276384706,-1.165768701,1.200357707,0.007189834,-67.30929847,78.69287852,52.81787151,52.81787151,1.489891135,0.304795414,-66.37766266,21.238952,QN23.26.005,M.nemestrina,Macaque,NHP_acute,acute,PKS4_230314_227_A01,ITG,Temporal,,,,,,,TCx,0.768304912,L2/3 IT_1,L2/3 IT,PKS4_230314_227_A01,525.9397753,6.080228617,0,0,647.5443477,9344,53.88029072,0.996308133,0.575697131,748,748,L3
109,QN23.26.005.11.05.05,1.276112261,2.050611082,4.95147554,108.144566,24.808328,138.004607,-0.269061558,0.233651721,-1.118163687,1.150342802,0.00476418,-63.79427075,119.202353,80.09553858,80.09553858,1.488252094,0.343117714,-65.79109192,26.996781,QN23.26.005,M.nemestrina,Macaque,NHP_acute,acute,PKS4_230314_228_A01,ITG,Temporal,,,,,,,TCx,0.744176769,L2/3 IT_1,L2/3 IT,PKS4_230314_228_A01,373.542692,0,0,0,186.771346,6680,46.66061792,0.940633573,0.517084413,641,641,L3
