cell_name,hier_class_assignment,hier_neighborhood_assignment,hier_subclass_assignment,hier_cluster_assignment,hier_subclass_bootstrap_prob,hier_subclass_avg_corr,subclass_Corr,subclass_Tree,cluster_Corr_label,predicted_subclass,Cortical_area,Species,LIMS_depth,Depth_from_pia,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,quality_score_label,score.Corr_label,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,htr1a_status,htr1b_status,HTR1_sum,HTR2_sum,HTR0_sum,HTR_balance
QN24.26.001.20.02.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,472,6503,53.179389229599295,0.9303691915218563,0.6127266873007345,0.7119084703486854,0,0,0,6.203030578471966,1.8842185778014096,8.03385428232551,0,1.8842185778014096,6.531568506735317,5.704292534295571,0,6.867102719279678,provisional_seurat_primary,provisional_seurat_primary,8.087249156273376,9.91807286012692,19.102963760310566,1.830823703853543
QN24.26.001.20.03.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,722,6528,46.149019022133416,0.8985629421755189,0.5514284789865513,0.6607009804207689,0,0,0,6.1333954143039255,0,6.491391302292103,2.102735217340063,0,5.45410953069405,0,0,0,provisional_seurat_primary,provisional_seurat_primary,6.1333954143039255,8.594126519632166,5.45410953069405,2.4607311053282404
QN24.26.001.20.CW01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,NA,9506,47.7725874725411,0.8966078522594576,0.5387951095880054,0.6951693464600691,0,0,0,0,3.6547726061107495,7.520582075567832,5.73273700321431,1.9630063084776883,4.201038895679985,0,3.277420456132868,3.277420456132868,provisional_seurat_primary,provisional_seurat_primary,3.6547726061107495,15.21632538725983,10.755879807945721,11.561552781149082
QN24.26.001.20.CW02.01,NA,NA,NA,NA,NA,NA,L6_CT,Pvalb,L6 CT_1,NA,FCx,M.nemestrina,NA,NA,3166,33.16568703718586,0.5794316653870492,0.20172879156941326,0.3104384865646675,0,0,0,5.041353352866256,7.176794846435169,4.084511600605476,0,0,5.041353352866256,0,0,0,provisional_seurat_primary,provisional_seurat_primary,12.218148199301424,4.084511600605476,5.041353352866256,-8.133636598695949
QN24.26.001.20.CW05.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_3,NA,FCx,M.nemestrina,NA,NA,7561,57.10171908407873,1.027570012476561,0.6626320694411115,0.7859421345247184,0,0,0,8.111088826151049,0,0,5.850967897821786,1.8878731814253942,0,0,0,1.8878731814253942,provisional_seurat_primary,provisional_seurat_primary,8.111088826151049,7.73884107924718,1.8878731814253942,-0.3722477469038683
QN24.26.002.20.01.01,NA,NA,NA,NA,NA,NA,L5_ET,L5_ET,L5 ET_2,NA,MCx,M.nemestrina,NA,1624,8986,50.60629888905169,0.8298136092815153,0.621494055541241,0.7491654999946407,0,0,0,6.1798766032201975,4.471493234307757,4.634174405084542,3.1609626184116455,0,8.054244885974356,0,0,4.913079185674928,provisional_seurat_primary,provisional_seurat_primary,10.651369837527955,7.795137023496187,12.967324071649283,-2.8562328140317685
QN24.26.002.20.CW01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,Sncg,L2/3 IT_1,NA,MCx,M.nemestrina,NA,NA,10846,32.3062444844012,0.8540947527198,0.33147853481108375,0.3990094251988277,0,2.1854636053418535,3.541785924233884,3.9255169376616044,6.096469718331845,4.228329775432492,0,3.9255169376616044,5.04170577252488,3.9255169376616044,0,4.691595893645431,provisional_seurat_primary,provisional_seurat_primary,15.749236185569186,8.153846713094097,13.658818603831914,-7.595389472475089
QN24.26.003.20.02.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,337,7515,43.663458891087274,1.0214627000890562,0.6113999288536656,0.747821571890413,0,0,0,6.735958445505909,2.8874334411894336,8.820711238229272,0,0,4.733252153978472,5.872724393071637,5.1778145469593975,0,provisional_seurat_primary,provisional_seurat_primary,9.623391886695343,8.820711238229272,15.783791094009507,-0.8026806484660707
QN24.26.003.20.04.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,NA,6526,46.116133662853954,0.9967896769665011,0.6102365907912654,0.7086098078026087,0,5.177165328343357,2.7789488070779673,4.216498485025159,0,4.612003447570798,0,0,5.898092403055856,0,0,0,provisional_seurat_primary,provisional_seurat_primary,12.172612620446484,4.612003447570798,5.898092403055856,-7.560609172875687
QN24.26.003.20.06.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,696,5444,49.52221951948515,0.9949899145923249,0.6230575369207395,0.7393618878354293,0,0,1.9928150106311167,5.605318195372648,4.450280860453937,4.634652974406518,7.537357942553072,0,1.9928150106311167,0,0,0,provisional_seurat_primary,provisional_seurat_primary,12.048414066457703,12.17201091695959,1.9928150106311167,0.12359685050188673
QN24.26.003.20.05.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_3,NA,FCx,M.nemestrina,NA,210,5903,36.02786480312038,0.8506409099508625,0.6125108545732519,0.755419911179438,0,0,0,5.608557096452322,0,0,0,0,1.9302691829477865,3.6141270162289847,0,1.9302691829477865,provisional_seurat_primary,provisional_seurat_primary,5.608557096452322,0,7.474665382124558,-5.608557096452322
QN24.26.003.20.CW02.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L6_CT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,NA,6485,41.343624065643695,0.8963051447144753,0.4219357114919543,0.49119650931784214,0,0,3.154096516052772,7.716974482598496,5.710439400580233,0,4.375351658197828,5.710439400580233,5.340169938185735,0,2.3076902957156027,5.192118561126989,provisional_seurat_primary,provisional_seurat_primary,16.5815103992315,10.08579105877806,12.839978795028326,-6.495719340453441
QN24.26.003.20.CW01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,376,6392,37.83676273244704,0.92823460414007,0.5477466099771257,0.6706207605051864,0,0,0,7.116197060701692,3.7571772151575042,0,0,5.893202023201427,2.371228279942709,0,0,0,provisional_seurat_primary,provisional_seurat_primary,10.873374275859197,5.893202023201427,2.371228279942709,-4.98017225265777
QN24.26.004.20.01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,666,6600,42.04062071837045,0.9105857927279216,0.5573447667643112,0.7538913703970346,0,0,0,0,0,6.162529879861172,0,0,0,0,0,2.02536594796717,provisional_seurat_primary,provisional_seurat_primary,0,6.162529879861172,2.02536594796717,6.162529879861172
QN24.26.004.20.02.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,797,5877,60.19543563140899,1.0420992949230952,0.6690576838592304,0.7596290348196081,0,0,2.051940402077564,0,0,7.390354318235163,0,2.051940402077564,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,2.051940402077564,9.442294720312727,0,7.390354318235163
