"time","instRate","protocol","percent_change","cell_name","predicted_subclass","Species","blockers","bath","puff","DFP","LIMs_depth","assigned_subclass","expCon","response","keep","Date"
-47.8156,3.72856077554064,"baseline",102.986067044348,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-47.54638,4.10004100041,"baseline",113.246671510022,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-47.30182,3.78931413414172,"baseline",104.664127250073,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-47.03702,4.01606425702811,"baseline",110.92716137066,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-46.7872,4.31592576607682,"baseline",119.209595085431,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-46.55466,3.58371559633028,"baseline",98.9853181669089,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-46.27472,3.71222807929319,"baseline",102.534943875916,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-46.00452,3.99872040946897,"baseline",110.448109330191,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-45.75372,3.77500943752359,"baseline",104.269019181934,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-45.48776,3.80257053768347,"baseline",105.030280558576,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-45.22396,3.35322915968077,"baseline",92.619083835069,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-44.92478,3.96542152430803,"baseline",109.528365379072,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-44.67188,4.03648986841043,"baseline",111.491334388045,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-44.42332,4.02544078576604,"baseline",111.186149188046,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-44.1742,3.58012315623657,"baseline",98.8860918705938,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-43.8939,3.68785956630771,"baseline",101.861864512813,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-43.622,3.88168620448723,"baseline",107.215523566859,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-43.36346,3.95914165808853,"baseline",109.354910053426,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-43.11004,4.04498017959712,"baseline",111.725844111699,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-42.86204,3.6007489557828,"baseline",99.455794257865,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-42.58346,4.16146483562214,"baseline",114.943250858486,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-42.3423,4.10004100041,"baseline",113.246671510022,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-42.09752,3.94290671082722,"baseline",108.906486796366,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-41.84288,3.71029979222321,"baseline",102.481682922582,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-41.5725,4.09265777195711,"baseline",113.042740367088,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-41.3275,3.74981250937453,"baseline",103.57305827694,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
