"",score.Corr,score.Tree,class_Corr,subclass_Corr,cluster_Corr,class_Tree,subclass_Tree,cluster_Tree,cluster,cluster_score,res.index,quality_score,marker_sum_norm,Norm_Marker_Sum.0.4,contaminationType,contam_sum,Tree_call,Tree_first_cor,Tree_first_bt,Tree_second_bt,Tree_first_KL,Tree_second_KL,number_genes_CPMgt0,number_genes_CPMgt1
AB-S40370_S155_E1-50,0.755496412980331,0.92,Neuronal: Glutamatergic,L6b,L6b_6,Neuronal: Glutamatergic,L6b,L6b_6,L6b_6,0.92,1,0.399436744414351,0.754918446754921,TRUE,Microglia.PVM,1.22260738227299,Core,0.755496412980331,1,0,0.0119699738176205,5.49670722943507,8638,8638
AB-S40370_S156_E1-50,0.200683101708002,0.61,Neuronal: Glutamatergic,L6 CT,L6 CT_4,Neuronal: Glutamatergic,L6 CT,L6 CT_3,n96,0.73,0.804366365341975,0.0366998639026552,0.128516204079059,FALSE,Oligodendrocyte,0.464447432042045,PoorQ,0.200683101708002,0.93,0.01,0.742226917668161,4.85939564504702,3122,3122
AB-S40370_S157_E1-50,0.869292424332466,1,Neuronal: Glutamatergic,L6 CT,L6 CT_1,Neuronal: Glutamatergic,L6 CT,L6 CT_1,L6 CT_1,1.00,1,0.492391865740022,1.03561023489989,TRUE,Microglia.PVM,0.934949831365153,PoorQ,0.869292424332466,0.29,0.21,4.67873097168314,6.96763285155193,10204,10204
AB-S40370_S158_E1-50,0.138847136694305,0.48,Neuronal: GABAergic,Vip,Vip_19,Neuronal: Glutamatergic,L6b,L6b_2,n69,0.96,0.28927170390585,0.0788876586875921,0.163922058796584,FALSE,Microglia.PVM,0.595054695083164,PoorQ,0.138847136694305,0.46,0.21,3.95343198263547,5.42774593992036,2948,2948
AB-S40370_S161_E1-50,0.264888148253056,0.35,Neuronal: GABAergic,Sst,Sst_1,Neuronal: GABAergic,Sst,Sst_1,n1,1,0,0.0695527088441902,0.298284578282989,FALSE,Microglia.PVM,1.33438482759745,PoorQ,0.264888148253056,0.87,0.08,1.04469294928249,2.08283030382557,6184,6184
AB-S40370_S164_E1-50,0.101140082417037,0.28,Neuronal: GABAergic,Vip,Vip_18,Neuronal: Glutamatergic,L5 IT,L5 IT_5,n83,0.92,0.513559611120587,0,0.094096022169613,FALSE,Microglia.PVM,0.827235046630496,PoorQ,0.101140082417037,0.33,0.3,2.51661211043736,7.02559492956567,3732,3732
AB-S40370_S165_E1-50,0.317838269447562,0.62,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L4 IT,L4 IT_3,n86,0.89,0.698447893569845,0.164439439436084,0.364326221215677,FALSE,Microglia.PVM,0.858616263773042,PoorQ,0.317838269447562,0.88,0.12,0.337359902910473,2.77317614007043,4708,4708
AB-S40370_S167_E1-50,0.167934364696969,0.53,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: GABAergic,Lamp5 Lhx6,Lamp5_Lhx6_1,n3,0.80,0.295753027460345,0.0831201670930625,0.263283274584593,FALSE,Microglia.PVM,1.00582036204039,PoorQ,0.167934364696969,0.62,0.22,0.312935170164658,0.982311813867791,4267,4267
AB-S40370_S198_E1-50,0.271450624794431,0.48,Neuronal: GABAergic,Sst Chodl,Sst Chodl_2,Neuronal: GABAergic,Sst,Sst_11,n37,0.99,0.340781170049463,0.23145481983751,0.475407487573869,TRUE,VLMC,0.75757031427515,PoorQ,0.271450624794431,0.57,0.25,1.3208262979602,1.32259427660318,3873,3873
AB-S40370_S199_E1-50,0.301070695522901,0.42,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: GABAergic,Sst,Sst_12,n1,1,0,0.20034489934349,0.580660679850065,TRUE,VLMC,2.02424517630129,PoorQ,0.301070695522901,0.97,0.03,0.404078965086577,2.1862835174886,5606,5606
